,Black spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Tamarack,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Northern white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Longleaf pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Slash pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Loblolly pine,63,44,,,,,,10,,,,,11,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Virginia pine,3,3,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sand pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Table Mountain pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pond pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pitch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Spruce pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Rocky Mountain juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pinyon / juniper woodland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Douglas-fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Port-Orford-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Ponderosa pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Incense-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Jeffrey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western white pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,White fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Noble fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific silver fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Engelmann spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Engelmann spruce / subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Grand fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Subalpine fir,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Mountain hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Alaska-yellow-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lodgepole pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western hemlock,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western redcedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sitka spruce,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Redwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant sequoia,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Knobcone pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bishop pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Monterey pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Whitebark pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Miscellaneous western softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Western juniper,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California mixed conifer,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scotch pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic softwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Norway spruce,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Introduced larch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern white pine / northern red oak / white ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eastern redcedar / hardwood,1,-,,,,,,-,,,,,1,,,,,,-,,,,,,,,,,,,,
,Longleaf pine / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Shortleaf pine / oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Virginia pine / southern red oak,4,3,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Loblolly pine / hardwood,26,22,,,,,,2,,,,,3,,,,,,-,,,,,,,,,,,,,
,Slash pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other pine / hardwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Post oak / blackjack oak,2,2,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Chestnut oak,12,10,,,,,,2,,,,,-,,,,,,-,,,,,,,,,,,,,
,White oak / red oak / hickory,53,50,,,,,,4,,,,,1,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White oak,15,14,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Northern red oak,2,2,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar / white oak / northern red oak,13,11,,,,,,-,,,,,2,,,,,,-,,,,,,,,,,,,,
,Sassafras / persimmon,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetgum / yellow-poplar,22,17,,,,,,5,,,,,1,,,,,,-,,,,,,,,,,,,,
,Bur oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Scarlet oak,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Yellow-poplar,13,13,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black walnut,1,-,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black locust,4,2,,,,,,2,,,,,-,,,,,,-,,,,,,,,,,,,,
,Southern scrub oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Chestnut oak / black oak / scarlet oak,12,7,,,,,,5,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cherry / white ash / yellow-poplar,8,6,,,,,,2,,,,,-,,,,,,-,,,,,,,,,,,,,
,Elm / ash / black locust,6,4,,,,,,1,,,,,1,,,,,,-,,,,,,,,,,,,,
,Red maple / oak,12,10,,,,,,-,,,,,2,,,,,,-,,,,,,,,,,,,,
,Mixed upland hardwoods,23,16,,,,,,4,,,,,3,,,,,,-,,,,,,,,,,,,,
,Swamp chestnut oak / cherrybark oak,3,3,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,7,6,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Overcup oak / water hickory,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Atlantic white-cedar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Baldcypress / water tupelo,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sweetbay / swamp tupelo / red maple,14,13,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Baldcypress / pondcypress,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black ash / American elm / red maple,1,1,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,River birch / sycamore,4,4,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cottonwood,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Willow,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sycamore / pecan / American elm,4,3,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugarberry / hackberry / elm / green ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Silver maple / American elm,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red maple / lowland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Cottonwood / willow,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Oregon ash,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Sugar maple / beech / yellow birch,4,4,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Black cherry,5,4,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Hard maple / basswood,3,3,,,,,,1,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red maple / upland,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Aspen,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paper birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray birch,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Balsam poplar,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pin cherry,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Red alder,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Bigleaf maple,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Gray pine,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California black oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oregon white oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Blue oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Coast live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Canyon live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Interior live oak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California white oak (valley oak),-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Tanoak,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,California laurel,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Giant chinkapin,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Pacific madrone,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other hardwoods,4,2,,,,,,-,,,,,2,,,,,,-,,,,,,,,,,,,,
,Miscellaneous woodland hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Palms,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Moist forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Lower montane wet and rain forest,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other tropical hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Paulownia,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Melaleuca,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Eucalyptus,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Other exotic hardwoods,-,-,,,,,,-,,,,,-,,,,,,-,,,,,,,,,,,,,
,Nonstocked,2,-,,,,,,-,,,,,-,,,,,,2,,,,,,,,,,,,,
"25 Massachusetts
Ratio estimate:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,,Large diameter,,,,,Medium diameter,,,,,Small diameter,,,,,,,Nonstocked,,,,,,,,,,,,
,Total,0.1580,,0.1075,,,,,0.2529,,,,,0.8223,,,,,,,2.5782,,,,,,,,,,,,
,Jack pine,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Red pine,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Eastern white pine,0.1487,,0.1604,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Eastern white pine / eastern hemlock,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Eastern hemlock,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Balsam fir,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,White spruce,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Red spruce,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Red spruce / balsam fir,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Black spruce,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Tamarack,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Northern white-cedar,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Longleaf pine,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Slash pine,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Loblolly pine,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Shortleaf pine,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,Virginia pine,-,,-,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sand pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Table Mountain pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pond pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pitch pine,0.1094,,0.0041,,,,,0.4931,,,,,,-,,,,,,-,,,,,,,,,,,,
,Spruce pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern redcedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Rocky Mountain juniper,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Juniper woodland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pinyon / juniper woodland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Douglas-fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Port-Orford-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Ponderosa pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Incense-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sugar pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Jeffrey pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western white pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,White fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Noble fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pacific silver fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Engelmann spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Engelmann spruce / subalpine fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Grand fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Subalpine fir,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Blue spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Mountain hemlock,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Alaska-yellow-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Lodgepole pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western hemlock,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western redcedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sitka spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western larch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Redwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Giant sequoia,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Knobcone pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Bishop pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Monterey pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Whitebark pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Miscellaneous western softwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western juniper,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California mixed conifer,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Scotch pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other exotic softwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Norway spruce,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Introduced larch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern white pine / northern red oak / white ash,0.0577,,0.0655,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern redcedar / hardwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Longleaf pine / oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Shortleaf pine / oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Virginia pine / southern red oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Loblolly pine / hardwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Slash pine / hardwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other pine / hardwood,0.4046,,0.8862,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Post oak / blackjack oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Chestnut oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,White oak / red oak / hickory,0.1682,,0.1788,,,,,0.0106,,,,,,-,,,,,,-,,,,,,,,,,,,
,White oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Northern red oak,0.2860,,0.2966,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Yellow-poplar / white oak / northern red oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sassafras / persimmon,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sweetgum / yellow-poplar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Bur oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Scarlet oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Yellow-poplar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black walnut,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black locust,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Southern scrub oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Chestnut oak / black oak / scarlet oak,0.1528,,0.1648,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Cherry / white ash / yellow-poplar,0.3131,,-,,,,,-,,,,,,1.3179,,,,,,-,,,,,,,,,,,,
,Elm / ash / black locust,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red maple / oak,0.0469,,0.0887,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Mixed upland hardwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Swamp chestnut oak / cherrybark oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Overcup oak / water hickory,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Atlantic white-cedar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Baldcypress / water tupelo,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sweetbay / swamp tupelo / red maple,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Baldcypress / pondcypress,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black ash / American elm / red maple,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,River birch / sycamore,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Cottonwood,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Willow,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sycamore / pecan / American elm,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sugarberry / hackberry / elm / green ash,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Silver maple / American elm,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red maple / lowland,0.3973,,-,,,,,-,,,,,,2.2257,,,,,,-,,,,,,,,,,,,
,Cottonwood / willow,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Oregon ash,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sugar maple / beech / yellow birch,0.1535,,0.0306,,,,,1.0352,,,,,,-,,,,,,-,,,,,,,,,,,,
,Black cherry,0.4769,,0.4769,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Hard maple / basswood,0.3492,,-,,,,,-,,,,,,2.2556,,,,,,-,,,,,,,,,,,,
,Red maple / upland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Aspen,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Paper birch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Gray birch,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Balsam poplar,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pin cherry,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red alder,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Bigleaf maple,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Gray pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California black oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Oregon white oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Blue oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Coast live oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Canyon live oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Interior live oak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California white oak (valley oak),-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Tanoak,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,California laurel,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Giant chinkapin,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pacific madrone,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other hardwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Miscellaneous woodland hardwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Palms,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Moist forest,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Wet and rain forest,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Lower montane wet and rain forest,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other tropical hardwoods,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Paulownia,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Melaleuca,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eucalyptus,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Other exotic hardwoods,1.7926,,-,,,,,1.7926,,,,,,-,,,,,,-,,,,,,,,,,,,
,Nonstocked,2.5782,,-,,,,,-,,,,,,-,,,,,,2.5782,,,,,,,,,,,,
"25 Massachusetts
Numerator estimate:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,,Large diameter,,,,,Medium diameter,,,,,,Small diameter,,,,,,Nonstocked,,,,,,,,,,,,
,Total,"444,149",,"254,647",,,,,"84,071",,,,,,"83,180",,,,,,"22,251",,,,,,,,,,,,
,Jack pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Red pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern white pine,"44,054",,"44,054",,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern white pine / eastern hemlock,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern hemlock,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
